Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  03.06.2019;24,37;26,40;24,08;24,52;116.071
  04.06.2019;25,00;26,26;24,75;26,26;86.658
  05.06.2019;26,32;26,98;25,84;26,28;108.163
  06.06.2019;26,39;28,39;26,20;28,23;165.775
  07.06.2019;28,20;28,82;27,86;28,60;111.476
  10.06.2019;28,90;30,30;28,85;29,91;103.932
  11.06.2019;29,44;29,99;28,07;28,60;172.587
  12.06.2019;28,70;28,77;28,07;28,50;50.587
  13.06.2019;28,57;28,92;27,50;27,83;60.000
  14.06.2019;27,18;27,50;26,77;27,07;67.671
  17.06.2019;27,29;27,35;26,01;26,02;56.469
  18.06.2019;26,07;27,70;25,77;27,20;98.237
  19.06.2019;27,40;27,69;26,90;27,16;48.191
  20.06.2019;27,21;27,79;26,50;26,57;74.517
  21.06.2019;26,43;26,65;25,45;25,56;52.642
  24.06.2019;25,70;25,84;25,28;25,66;40.328
  25.06.2019;25,69;26,07;25,32;25,38;32.709
  26.06.2019;25,85;26,81;25,85;26,32;76.563
  27.06.2019;26,67;27,20;26,50;27,04;56.505
  28.06.2019;26,97;27,35;26,64;26,71;47.829
  01.07.2019;27,70;28,24;27,36;27,64;79.272
  02.07.2019;27,55;27,76;27,18;27,67;124.552
  03.07.2019;27,79;28,12;27,24;27,58;80.694
  04.07.2019;27,51;27,89;27,51;27,82;20.870
  05.07.2019;27,74;28,10;27,40;28,05;41.828
  08.07.2019;28,20;28,75;27,86;28,59;96.211
  09.07.2019;28,52;29,57;28,16;29,57;97.196
  10.07.2019;29,74;30,27;29,29;30,02;123.618
  11.07.2019;30,17;30,22;29,06;29,36;110.901
  12.07.2019;29,37;29,65;28,97;29,48;78.551
  15.07.2019;29,67;30,71;29,46;30,54;112.004
  16.07.2019;30,49;31,06;30,15;30,18;127.093
  17.07.2019;30,50;30,60;29,82;29,92;60.413
  18.07.2019;29,84;29,84;28,91;29,25;52.164
  19.07.2019;29,63;29,72;28,89;28,97;34.994
  22.07.2019;29,24;29,65;29,09;29,30;39.309
  23.07.2019;29,49;30,04;29,37;30,04;36.590
  24.07.2019;30,24;30,83;30,05;30,62;50.658
  25.07.2019;30,49;30,76;30,17;30,20;41.231
  26.07.2019;30,49;31,19;30,36;30,58;43.264
  29.07.2019;30,65;30,85;29,67;30,04;97.262
  30.07.2019;29,92;30,42;29,62;30,42;71.593
  31.07.2019;28,70;29,44;27,38;27,49;289.030
  01.08.2019;27,74;28,49;26,28;26,91;101.779
  02.08.2019;27,00;27,15;26,05;26,50;87.502
  05.08.2019;26,39;26,39;24,70;24,98;138.982
  06.08.2019;24,51;25,90;24,36;25,77;103.667
  07.08.2019;25,85;26,23;25,31;26,13;68.184
