Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
03.06.2019;5,92;5,99;5,84;5,86;2490
04.06.2019;5,84;5,95;5,72;5,93;18500
05.06.2019;5,93;6,02;5,90;5,98;4497
06.06.2019;5,97;6,04;5,93;5,93;1584
07.06.2019;5,96;6,06;5,95;5,96;697
08.06.2019;6,02;6,02;6,01;6,01;0
09.06.2019;6,01;6,02;6,00;6,02;0
10.06.2019;6,01;6,03;5,92;5,92;250
11.06.2019;5,93;6,16;5,93;6,09;6198
12.06.2019;6,07;6,15;6,05;6,08;3137
13.06.2019;6,08;6,16;6,03;6,07;6760
14.06.2019;6,10;6,16;6,07;6,12;1247
15.06.2019;6,12;6,12;6,12;6,12;0
16.06.2019;6,12;6,12;6,12;6,12;0
17.06.2019;6,12;6,15;6,10;6,10;1183
18.06.2019;6,09;6,24;6,08;6,17;1660
19.06.2019;6,17;6,21;6,16;6,21;1275
20.06.2019;6,22;6,29;6,20;6,23;400
21.06.2019;6,21;6,24;6,13;6,14;5534
22.06.2019;6,14;6,14;6,13;6,13;0
23.06.2019;6,13;6,17;6,13;6,17;0
24.06.2019;6,14;6,18;6,08;6,10;632
25.06.2019;6,09;6,13;6,01;6,01;717
26.06.2019;6,01;6,11;6,00;6,03;151
27.06.2019;6,04;6,11;6,00;6,09;628
28.06.2019;6,08;6,14;6,05;6,13;2902
01.07.2019;6,15;6,39;6,10;6,18;4444
02.07.2019;6,16;6,24;6,16;6,20;6059
03.07.2019;6,18;6,29;6,13;6,23;750
04.07.2019;6,25;6,32;6,22;6,25;620
05.07.2019;6,27;6,34;6,20;6,26;3105
06.07.2019;6,26;6,26;6,26;6,26;0
07.07.2019;6,26;6,26;6,25;6,25;0
08.07.2019;6,25;6,31;6,21;6,24;1600
09.07.2019;6,22;6,30;6,21;6,25;1174
10.07.2019;6,25;6,34;6,24;6,27;50369
11.07.2019;6,28;6,34;6,27;6,28;361
12.07.2019;6,30;6,35;6,28;6,30;1113
13.07.2019;6,31;6,31;6,30;6,31;0
14.07.2019;6,31;6,31;6,30;6,30;0
15.07.2019;6,31;6,37;6,22;6,31;6254
16.07.2019;6,30;6,36;6,28;6,29;2213
17.07.2019;6,30;6,35;6,27;6,28;200
18.07.2019;6,29;6,32;6,19;6,20;5529
19.07.2019;6,22;6,35;6,21;6,30;1877
20.07.2019;6,29;6,29;6,29;6,29;0
21.07.2019;6,29;6,30;6,29;6,30;0
22.07.2019;6,30;6,34;6,27;6,27;1773
23.07.2019;6,29;6,37;6,29;6,31;1889
24.07.2019;6,32;6,39;6,28;6,28;110
25.07.2019;6,29;6,45;6,29;6,35;4684
26.07.2019;6,37;6,47;6,33;6,35;3048
27.07.2019;6,35;6,35;6,35;6,35;0
29.07.2019;6,35;6,48;6,34;6,37;610
30.07.2019;6,37;6,41;6,34;6,34;2547
31.07.2019;6,34;6,53;6,31;6,35;6937
01.08.2019;6,35;6,51;6,29;6,30;2509
02.08.2019;6,24;6,30;6,11;6,17;3919
03.08.2019;6,17;6,17;6,17;6,17;0
04.08.2019;6,17;6,17;6,16;6,17;0
05.08.2019;6,13;6,13;5,85;5,86;8258
06.08.2019;5,85;5,99;5,84;5,89;523
07.08.2019;5,88;5,99;5,85;5,91;1480
08.08.2019;5,91;6,05;5,91;6,02;1942
09.08.2019;6,02;6,08;5,95;5,99;1125
10.08.2019;5,99;5,99;5,98;5,99;0
11.08.2019;5,99;5,99;5,97;5,97;0
