date,stock,value,change
2019-06-04,AMD,26.26,0.0709624796084829
2019-06-04,ISHARES DIGITAL ETF,5.93,0.011945392491467421
2019-06-05,AMD,26.28,0.0007616146230007281
2019-06-05,ISHARES DIGITAL ETF,5.98,0.008431703204047292
2019-06-06,AMD,28.23,0.07420091324200917
2019-06-06,ISHARES DIGITAL ETF,5.93,-0.008361204013378032
2019-06-07,AMD,28.6,0.013106624158696567
2019-06-07,ISHARES DIGITAL ETF,5.96,0.005059021922428464
2019-06-08,ISHARES DIGITAL ETF,6.01,0.008389261744966348
2019-06-09,ISHARES DIGITAL ETF,6.02,0.0016638935108153063
2019-06-10,AMD,29.91,0.0458041958041957
2019-06-10,ISHARES DIGITAL ETF,5.92,-0.01661129568106301
2019-06-11,ISHARES DIGITAL ETF,6.09,0.028716216216216228
2019-06-11,AMD,28.6,-0.043798060849214226
2019-06-12,AMD,28.5,-0.0034965034965035446
2019-06-12,ISHARES DIGITAL ETF,6.08,-0.0016420361247947435
2019-06-13,ISHARES DIGITAL ETF,6.07,-0.0016447368421051989
2019-06-13,AMD,27.83,-0.02350877192982459
2019-06-14,ISHARES DIGITAL ETF,6.12,0.008237232289950658
2019-06-14,AMD,27.07,-0.027308659719726847
2019-06-15,ISHARES DIGITAL ETF,6.12,0.0
2019-06-16,ISHARES DIGITAL ETF,6.12,0.0
2019-06-17,ISHARES DIGITAL ETF,6.1,-0.0032679738562092497
2019-06-17,AMD,26.02,-0.03878832656076836
2019-06-18,ISHARES DIGITAL ETF,6.17,0.011475409836065653
2019-06-18,AMD,27.2,0.04534973097617212
2019-06-19,ISHARES DIGITAL ETF,6.21,0.006482982171799101
2019-06-19,AMD,27.16,-0.0014705882352941124
2019-06-20,ISHARES DIGITAL ETF,6.23,0.0032206119162641045
2019-06-20,AMD,26.57,-0.02172312223858619
2019-06-21,AMD,25.56,-0.03801279638690258
2019-06-21,ISHARES DIGITAL ETF,6.14,-0.014446227929374111
2019-06-22,ISHARES DIGITAL ETF,6.13,-0.0016286644951140072
2019-06-23,ISHARES DIGITAL ETF,6.17,0.006525285481239873
2019-06-24,AMD,25.66,0.00391236306729259
2019-06-24,ISHARES DIGITAL ETF,6.1,-0.011345218800648316
2019-06-25,AMD,25.38,-0.010911925175370318
2019-06-25,ISHARES DIGITAL ETF,6.01,-0.014754098360655665
2019-06-26,ISHARES DIGITAL ETF,6.03,0.0033277870216306127
2019-06-26,AMD,26.32,0.03703703703703698
2019-06-27,AMD,27.04,0.027355623100303816
2019-06-27,ISHARES DIGITAL ETF,6.09,0.00995024875621886
2019-06-28,ISHARES DIGITAL ETF,6.13,0.006568144499178974
2019-06-28,AMD,26.71,-0.012204142011834285
2019-07-01,ISHARES DIGITAL ETF,6.18,0.00815660685154973
2019-07-01,AMD,27.64,0.03481842006739044
2019-07-02,AMD,27.67,0.0010853835021709113
2019-07-02,ISHARES DIGITAL ETF,6.2,0.003236245954692629
2019-07-03,AMD,27.58,-0.003252620166245168
2019-07-03,ISHARES DIGITAL ETF,6.23,0.004838709677419395
2019-07-04,ISHARES DIGITAL ETF,6.25,0.0032102728731941976
2019-07-04,AMD,27.82,0.008701957940536742
2019-07-05,AMD,28.05,0.008267433501078392
2019-07-05,ISHARES DIGITAL ETF,6.26,0.0016000000000000458
2019-07-06,ISHARES DIGITAL ETF,6.26,0.0
2019-07-07,ISHARES DIGITAL ETF,6.25,-0.0015974440894568342
2019-07-08,ISHARES DIGITAL ETF,6.24,-0.0015999999999999348
2019-07-08,AMD,28.59,0.019251336898395754
2019-07-09,ISHARES DIGITAL ETF,6.25,0.0016025641025640969
2019-07-09,AMD,29.57,0.03427771948233649
2019-07-10,AMD,30.02,0.015218126479540128
2019-07-10,ISHARES DIGITAL ETF,6.27,0.0031999999999998696
2019-07-11,ISHARES DIGITAL ETF,6.28,0.0015948963317384823
2019-07-11,AMD,29.36,-0.021985343104596988
2019-07-12,AMD,29.48,0.004087193460490468
2019-07-12,ISHARES DIGITAL ETF,6.3,0.0031847133757960666
2019-07-13,ISHARES DIGITAL ETF,6.31,0.0015873015873015817
2019-07-14,ISHARES DIGITAL ETF,6.3,-0.0015847860538826808
2019-07-15,ISHARES DIGITAL ETF,6.31,0.0015873015873015817
2019-07-15,AMD,30.54,0.03595658073270003
2019-07-16,ISHARES DIGITAL ETF,6.29,-0.0031695721077653616
2019-07-16,AMD,30.18,-0.011787819253438081
2019-07-17,AMD,29.92,-0.008614976805831565
2019-07-17,ISHARES DIGITAL ETF,6.28,-0.0015898251192368873
2019-07-18,AMD,29.25,-0.022393048128342308
2019-07-18,ISHARES DIGITAL ETF,6.2,-0.01273885350318471
2019-07-19,AMD,28.97,-0.009572649572649583
2019-07-19,ISHARES DIGITAL ETF,6.3,0.016129032258064502
2019-07-20,ISHARES DIGITAL ETF,6.29,-0.0015873015873015817
2019-07-21,ISHARES DIGITAL ETF,6.3,0.0015898251192367763
2019-07-22,AMD,29.3,0.011391094235416066
2019-07-22,ISHARES DIGITAL ETF,6.27,-0.004761904761904856
2019-07-23,ISHARES DIGITAL ETF,6.31,0.006379585326953707
2019-07-23,AMD,30.04,0.025255972696245577
2019-07-24,AMD,30.62,0.019307589880159792
2019-07-24,ISHARES DIGITAL ETF,6.28,-0.004754358161648042
2019-07-25,ISHARES DIGITAL ETF,6.35,0.011146496815286566
2019-07-25,AMD,30.2,-0.013716525146962866
2019-07-26,ISHARES DIGITAL ETF,6.35,0.0
2019-07-26,AMD,30.58,0.012582781456953684
2019-07-27,ISHARES DIGITAL ETF,6.35,0.0
2019-07-29,ISHARES DIGITAL ETF,6.37,0.0031496062992126816
2019-07-29,AMD,30.04,-0.017658600392413293
2019-07-30,ISHARES DIGITAL ETF,6.34,-0.004709576138147598
2019-07-30,AMD,30.42,0.012649800266311573
2019-07-31,AMD,27.49,-0.09631821170282717
2019-07-31,ISHARES DIGITAL ETF,6.35,0.001577287066246047
2019-08-01,ISHARES DIGITAL ETF,6.3,-0.007874015748031482
2019-08-01,AMD,26.91,-0.021098581302291697
2019-08-02,AMD,26.5,-0.015235971757710853
2019-08-02,ISHARES DIGITAL ETF,6.17,-0.020634920634920673
2019-08-03,ISHARES DIGITAL ETF,6.17,0.0
2019-08-04,ISHARES DIGITAL ETF,6.17,0.0
2019-08-05,ISHARES DIGITAL ETF,5.86,-0.050243111831442366
2019-08-05,AMD,24.98,-0.0573584905660377
2019-08-06,AMD,25.77,0.031625300240192056
